Date : 2026-07-13 01:46:35
Directory : /home/admin/programming/C++/Korra/stegvideo
Total : 118 files,  61086 codes, 4772 comments, 3736 blanks, all 69594 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
+----------------+------------+------------+------------+------------+------------+
| JSON           |         30 |     38,749 |          0 |          5 |     38,754 |
| C++            |         65 |     20,825 |      4,611 |      3,565 |     29,001 |
| XML            |          3 |        787 |        160 |          3 |        950 |
| Graphviz (DOT) |          3 |        264 |          0 |         65 |        329 |
| Python         |          9 |        150 |          1 |         36 |        187 |
| C              |          5 |        142 |          0 |         36 |        178 |
| MS SQL         |          1 |         75 |          0 |         16 |         91 |
| Makefile       |          1 |         65 |          0 |          8 |         73 |
| Markdown       |          1 |         29 |          0 |          2 |         31 |
+----------------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                           | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                              |        118 |     61,086 |      4,772 |      3,736 |     69,594 |
| . (Files)                                                                                                      |          1 |         65 |          0 |          8 |         73 |
| docs                                                                                                           |          7 |      1,080 |        160 |         70 |      1,310 |
| include                                                                                                        |         35 |     18,815 |      4,572 |      3,199 |     26,586 |
| include (Files)                                                                                                |          5 |     18,448 |      4,567 |      3,146 |     26,161 |
| include/color_codec                                                                                            |          6 |         61 |          0 |          6 |         67 |
| include/encoder                                                                                                |         18 |        256 |          5 |         41 |        302 |
| include/encoder (Files)                                                                                        |          1 |         20 |          0 |          2 |         22 |
| include/encoder/compressor                                                                                     |          2 |         13 |          0 |          1 |         14 |
| include/encoder/corrector                                                                                      |          2 |         13 |          0 |          1 |         14 |
| include/encoder/obfuscator                                                                                     |          2 |         13 |          0 |          1 |         14 |
| include/encoder/provider                                                                                       |         11 |        197 |          5 |         36 |        238 |
| include/encoder/provider (Files)                                                                               |          3 |         44 |          1 |          4 |         49 |
| include/encoder/provider/basic_block                                                                           |          6 |        129 |          4 |         30 |        163 |
| include/encoder/provider/len_reader                                                                            |          2 |         24 |          0 |          2 |         26 |
| include/video_pipe                                                                                             |          6 |         50 |          0 |          6 |         56 |
| include/video_pipe (Files)                                                                                     |          3 |         19 |          0 |          2 |         21 |
| include/video_pipe/ffmpeg_rtmp                                                                                 |          3 |         31 |          0 |          4 |         35 |
| src                                                                                                            |         20 |        890 |          3 |        155 |      1,048 |
| src (Files)                                                                                                    |          3 |        190 |          0 |         30 |        220 |
| src/color_codec                                                                                                |          6 |        284 |          0 |         41 |        325 |
| src/encoder                                                                                                    |          9 |        356 |          3 |         73 |        432 |
| src/encoder (Files)                                                                                            |          1 |         12 |          0 |          3 |         15 |
| src/encoder/provider                                                                                           |          8 |        344 |          3 |         70 |        417 |
| src/encoder/provider (Files)                                                                                   |          2 |         16 |          0 |          7 |         23 |
| src/encoder/provider/basic_block                                                                               |          5 |        290 |          3 |         57 |        350 |
| src/encoder/provider/len_reader                                                                                |          1 |         38 |          0 |          6 |         44 |
| src/video_pipe                                                                                                 |          2 |         60 |          0 |         11 |         71 |
| src/video_pipe/ffmpeg_rtmp                                                                                     |          2 |         60 |          0 |         11 |         71 |
| test                                                                                                           |         50 |     40,161 |         37 |        291 |     40,489 |
| test/context                                                                                                   |         30 |     38,749 |          0 |          5 |     38,754 |
| test/context/data                                                                                              |          4 |        197 |          0 |          5 |        202 |
| test/context/data/color_codec                                                                                  |          3 |        136 |          0 |          0 |        136 |
| test/context/data/config                                                                                       |          1 |         61 |          0 |          5 |         66 |
| test/context/expected                                                                                          |         26 |     38,552 |          0 |          0 |     38,552 |
| test/context/expected/frame                                                                                    |         26 |     38,552 |          0 |          0 |     38,552 |
| test/include                                                                                                   |          4 |         44 |          0 |         10 |         54 |
| test/lib                                                                                                       |          2 |        240 |          2 |         48 |        290 |
| test/src                                                                                                       |          5 |        495 |         14 |         96 |        605 |
| test/src (Files)                                                                                               |          2 |        304 |          8 |         56 |        368 |
